text,category,title,url,published,length
"Reeves rejects claims of  50bn  black hole  in finances. The chancellor hit back at the idea that the government faces so large a gap between spending and tax income. Rachel Reeves has rejected forecasts of a  50bn  black hole  in the public finances, despite higher borrowing costs and expected tax rises piling pressure on the chancellor ahead of the autumn Budget.In an exclusive interview with the BBC, Reeves hit back at reports speculating over her plans, arguing that  a lot of them are talking rubbish .It comes after the cost of long-term government borrowing rose to a 27-year high on Tuesday, fuelling concerns the chancellor will have to hike taxes or cut spending.Reeves said she would aim to  get the balance right  at the Budget, which will be on 26 November, but the Conservatives said the government  don t know what they re doing . Reeves told the BBC   Working people and businesses can rest assured, I know how important it is to return growth in investments to our economy and I will do that in the Budget this year. However, shadow chancellor Mel Stride accused the government of not having a plan and of  stalling  the Budget  in the vain hope things might get better .Faisal Islam  Reeves will need her hard hat for the next three months Last month, an independent think tank, the National Institute of Economic and Social Research  Niesr , estimated that the chancellor would need to plug a  50bn gap in the public finances.But the chancellor played down the figure and told the BBC Niesr had  more than most got their numbers wrong in the last few years .Forecasts for how much money Reeves needs to find to meet her self-imposed borrowing rules vary widely, with some estimates putting the figure at around  25bn.Reeves has two rules on government borrowing, which she has repeatedly said are  non-negotiable . These are day-to-day government costs will be paid for by tax income, rather than borrowing by 2029-30to get debt falling as a share of national income by the end of this parliament in 2029-30Ahead of the election, Labour pledged not to increase taxes on  working people , which included VAT, National Insurance  NI  and income tax.However, at the Budget last year, she increased the amount of NI employers have to pay, which led to a backlash from many businesses and sectors, such as hospitality.U-turns on proposed welfare cuts and winter fuel payments have also put pressure on the chancellor to find alternative revenue streams.It has led to speculation the chancellor is considering tax rises on property, banks and people, but Reeves hit back at such reports. People who seem to know what is in the Budget before we have made those decisions are just wrong,  she told the BBC. A lot of them are talking rubbish, and frankly, a lot of what they re saying is irresponsible. It s up to me to decide what is in the Budget, and I will do that in a careful way, getting the balance right between making sure that we ve got enough money to find our public services, particularly our National Health Service , whilst also ensuring that we can bring growth and investment to Britain,  she added.Reflecting on this week s changes of personnel in Downing Street, and the beefing up of the prime minister s economic team, she said she was working  in lockstep  with Number 10.The chancellor also denied that recent sharp increases in government borrowing costs hurt her credibility, saying they have  moved in line with other countries . There are global pressures on borrowing costs. You can see that around the world, from the United States to Europe and beyond. We re not immune to those,  she said. In recent days long-term borrowing costs across the world have increased, amid concerns about political uncertainty, levels of debt, and a structural shift in pension funds away from such bonds.Some commentators have argued that the UK s financial position is so weak that it will need a bailout from the International Monetary Fund, but Reeves said  serious economists  don t accept that idea.She argued there were  lots of positive signs  in the economy, but accepted that more needed to be done so that  working people wherever they live, actually feel the benefits of that growth .Asked about whether she would return to the bill for welfare to make the Budget numbers add up, she said   The welfare state should always be there for people who really need it, but we also need to do more to ensure that everyone who can work does work. After the recent U-turn on welfare cuts, the terms of reference for Work and Pensions Minister Stephen Timms  review of disability benefits is expected shortly. Some Labour MPs are also campaigning for extra spending to alleviate child poverty by reversing the two-child benefit cap.The chancellor was speaking to the BBC ahead of the announcement of the Budget date.",business,Reeves rejects claims of £50bn 'black hole' in finances,https://www.bbc.com/news/articles/cx27nm2mn5po?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 16:00:44 GMT",827
"Faisal Islam  Reeves has a bumpy road up to the Budget. The chancellor hits back at speculation over tax rises, but will need to find the money from somewhere. It is going to be a long 12 weeks, critical to the chancellor, the government and the nation s economy.Rachel Reeves chose to talk to me at a Birmingham housebuilding development to launch the Budget process as she tried her hand at some bricklaying. However, the obligatory hard hat might come in rather handy away from the site as the chancellor wanted to get across that the point of her Budget would not just be to  raise enough money  for public services - which is code for tax rises. She wants to be known as a reforming chancellor who made much-needed structural reforms to how the tax system operates, in a bid to boost economic productivity and growth to improve living standards.First and foremost, that requires a reassertion that she is in charge of this process. I will make the decisions,  she said,  in lockstep  with Number 10.Reeves dismisses  50bn  black hole  in UK finances That statement is in a week of economist transfers where the Treasury has become something of a feeder club to Number 10.Off the junior ministers  bench has been Darren Jones, Reeves  former deputy, who has taken up a newly-created role as Chief Secretary to the Prime Minister. Football analogies aside, the immediate challenge facing Reeves is the size of the gap in the public finances.The chancellor chose to dismiss the suggestion of a   50bn black hole , and talk of a need for a visit to the International Monetary Fund to request a bailout.She also savaged some of the Budget speculation over tax rises on property, banks and pensions as not just  wrong  but  irresponsible .The Treasury says it has not been flying kites over the summer. I also put to her the very interesting words of the Office for Budget Responsibility  OBR  in July, on levelling with the public that  promises made are constantly not kept  on tax and spending.There was the mildest air of annoyance with the forecaster whose analyses are so critical to the Budget process. The OBR have got an important job to do and their job is to produce four forecasts on the economy - not to give a running commentary on government policy,  she replied.While the chancellor has been a massive supporter of the OBR, granting it more independence, this nerdy point could reflect some looming tension over its assessment of her economic policies.Expect some considerable haggling with the OBR from the freshly recruited array of high-powered Downing Street economists.Reeves will stick to her fiscal rules around borrowing, she says.But there will be pressure from her backbenchers to fudge them.What spending reductions could be on the cards? Well, the chancellor did not rule out welfare cuts, even after the remarkable U-turn on disability benefits in July.She may also be a hostage to fortune in the promise that the Budget will help bring inflation, currently at 3.8 , down.Many typical measures aimed to raise revenue push it up, and that was the experience last year.Even as she was asserting control over this crucial Budget process, the bond markets reminded her that they can be just as powerful.She may well find the message useful in managing her own internal scrappy politics. It s going to be a rough ride to 26 November.",business,Faisal Islam: Reeves has a bumpy road up to the Budget,https://www.bbc.com/news/articles/cn76ly476x6o?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 16:00:57 GMT",570
"Newsmax sues Fox News in battle of right-wing TV networks. Newsmax accuses its more established rival of engaging in a campaign to stunt its business that violates competition law. Right-wing US media network Newsmax is suing Fox News over what it claims are anticompetitive tactics to supress competition, teeing up a legal battle in the American conservative news space.The lawsuit, filed in a Florida federal court, accuses Fox News of using its market power to coerce TV providers to restrict competing right-leaning channels. Newsmax cannot sue their way out of their own competitive failures in the marketplace to chase headlines simply because they can t attract viewers,  a Fox News spokesperson said.The company, owned by billionaire Rupert Murdoch, is consistently ranked the most popular conservative news outlet in the US with a market value of nearly  26bn   19bn . Fox News  has long engaged in an exclusionary scheme to increase and maintain its dominance in the market for US right-leaning pay TV news,  lawyers for Newsmax wrote in its antitrust complaint. It s alleged Fox News uses exclusive content deals to block other right-wing channels, and imposes financial penalties on providers that do carry other conservative networks, among other exclusionary tactics. The suit also accuses Fox News of using intimidation including pressuring its guests to not appear on rival networks, and hiring private investigators to target Newsmax executives Fox may have profited from exclusionary contracts and intimidation tactics for years, but those days are over,  Newsmax CEO Christopher Ruddy said.It s asking a judge to declare Fox News  conduct unlawful, and block it from entering into what it says are exclusionary contracts, in addition to monetary damages. Newsmax, founded in 1998 with a market value of  1.8bn, has gained traction in recent years, buoyed by support from President Donald Trump.The company had its own legal woes in the wake of Joe Biden s 2020 election victory over Trump.Newsmax agreed to pay  67m   50m  to settle a defamation lawsuit filed by a voting machine company over false claims it rigged the election.Dominion, which filed the case in 2021, had accused Newsmax of broadcasting  verifiably false lies .Fox News was also embroiled in litigation with Dominion, agreeing to settle a  787.5m   634m  lawsuit following the election.",business,Newsmax sues Fox News in battle of right-wing TV networks,https://www.bbc.com/news/articles/c1jzlgw1d7eo?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 18:37:21 GMT",374
"M S hackers claim to be behind Jaguar Land Rover cyber attack. The hack has caused severe disruption at manufacturing plants globally, with some staff told not to come into work. A group of young English-speaking hackers are claiming to be behind the cyber attack which has halted the global production lines of Jaguar Land Rover  JLR .The group is bragging about the hack on the messaging app Telegram, sharing screenshots apparently taken from inside the car maker s IT networks.The gang is also responsible for a wave of cyber attacks on UK retailers including M S in the spring - and are calling themselves  Scattered Lapsus  Hunters . Where is my new car, Land Rover,  the hackers - who are thought to be teens - posted to taunt the company. The BBC has approached JLR for comment. In private text conversations with one of the criminals, who claims to be the spokesperson for the group, they said they are trying to extort the car company for money.But the hacker would not say if they have successfully stolen private data from JLR or installed malicious software onto the company s network.The hacker wouldn t provide any more evidence they are responsible for the hack - and they are known to lie to get attention.But two images posted by the group show apparent internal instructions for troubleshooting a car charging issue and internal computer logs.One security expert has speculated the screenshots suggest the criminals have access to information they should not have. Based on the information provided by the attackers and open source intelligence, the attack has access to JLR s internal systems and network,  security researcher Kevin Beaumont said.A spokesperson for the Information Commissioner s Office said   Jaguar Land Rover has reported an incident and we are assessing the information provided.  Car production at sites including the Halewood plant in Merseyside and another in Solihull have been heavily disrupted since the attack was discovered on Sunday.Staff have been sent home and JLR has said it s working to get manufacturing back online.The company has not disclosed the nature of the attack. We took immediate action to mitigate its impact by proactively shutting down our systems, it said in a statement.  We are now working at pace to restart our global applications in a controlled manner. At this stage there is no evidence any customer data has been stolen but our retail and production activities have been severely disrupted. The hackers chose the name Scattered Lapsus  Hunters to reflect the merging of various youth-orientated cyber criminals who are all associated with a network called The Com.Earlier this year the National Crime Agency warned of the growing threat from cyber criminals in The Com.The newly named group is a mixture of hackers who have been part of the groups Shiny Hunters, Lapsus  and Scattered Spider - all notorious young hacking groups of the last few years that emerged from The Com.The Telegram channel used by the criminals now has nearly 52,000 subscribers. The group has been bragging about hacks and sharing incomprehensible in-jokes for days. It s the forth such Telegram channel as previous ones have been closed down.Scattered Spider is name of a loosely linked group of hackers responsible for high profile attacks on M S, Co-op and Harrods in April and May.In July the National Crime Agency arrested 4 people in connection to the hacks. A 20-year-old woman was arrested in Staffordshire, and three males - aged between 17 and 19 - were detained in London and the West Midlands. All have since been released on bail. Sign up for our Tech Decoded newsletter to follow the world s top tech stories and trends. Outside the UK? Sign up here.",business,M&S hackers claim to be behind Jaguar Land Rover cyber attack,https://www.bbc.com/news/articles/c4gqepe5355o?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 17:08:41 GMT",620
"Tesco trials avocado ripeness scanners. Fans of the fruit are divided over whether it s a shopping hack or if a squeeze test should suffice. Tesco is trialling avocado ripeness scanners and fans of the fruit are divided over whether it is a shopping hack or if a squeeze test should suffice.Avocado toast has become synonymous with the millennial generation but it relies on the main ingredient being soft enough for smashing.Shoppers at five Tesco stores in England can scan their avocados to find out how ripe they are. Tom Allingham, money expert at Save the Student, says it s  only fair  people know what they re paying for.But James Herring, CEO at brand consultancy Taylor Herring, thinks it s a tech gimmick and giving an avocado  a quick squeeze  works just as well.  Britain s supermarkets are locked in a never-ending battle for attention and spend, so every day brings a new gimmick,  he says. Tesco s avocado scanner has done its job  it s sparked chatter about food waste and burnished the brand s innovation credentials. Sure, you could put 100  of the marketing budget into store upgrades or slightly faster checkouts, but those fixes don t grab the headlines or make for good TikTok content.  Tesco s avocado buyer Lisa Lawrence says social media had played a part in predicting the popularity of the tech s soft launch. Smashed avocado on sourdough continues to be one of the trendiest snacks at the moment, garnering millions of views on social media sites for recipe ideas, so we think, for that reason, the scanner will be really popular with shoppers,  she said.Tesco says this year it has sold almost 15 million more avocados than it did in the previous 52 weeks. The scanner will enable shoppers to choose the avocado that is right for them and which therefore can help them plan their usage and desired shelf life,  says Ms Lawrence.The avocado scanners are in the fruit aisles in Cheshunt Extra and Colchester Superstore in Essex, Stratford upon Avon Superstore in Warwickshire, Wokingham Superstore in Berkshire and Salisbury Extra in Wiltshire. This is the latest tech update from the supermarket since its trial of giant trolley scales at a store in Gateshead led to some shoppers comparing it to airport security.Georgia Rose, a senior consultant at Kantar, thinks the avocado scanners will take off. Assurance around quality and value play an important role in influencing what we buy, so innovations like these need trialling to assess both how effective they are at reducing waste and how they impact customer satisfaction, before any broader rollout,  she said.Mr Allingham from Save the Student said he didn t buy into  the myth that young people buy too many avocados  and said he hoped the cost of the machines would not push prices up for customers. Given the rising cost of food and the enduring cost of living crisis for students... if that s the trade-off, then cheaper food is clearly the preference,  he says.",business,Tesco trials avocado ripeness scanners,https://www.bbc.com/news/articles/c3vzxxlxky4o?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 16:04:31 GMT",502
"Will drones deliver your next hot food order?. A Swedish firm hopes that drones will open up a new market for hot food delivery. Meal delivery is a luxury city dwellers take for granted - but more options are opening up for non-urban residents.Boasting nearly 700,000 islands collectively, Sweden, Norway and Finland are home to the most islands in the world, their coastlines dotted by archipelagos that have shaped their history and culture.While a number of the islands are accessible by ferry and bridge to residents of the region s cities, there s one thing locals are often missing  hot food delivery to their door, a service their city cousins probably take for granted.But Norwegian start-up Aviant wants to change that, by establishing the region s first food delivery service by drone - starting on the Swedish island of Värmdö. Värmdö is just eight miles  13km  from Stockholm as the crow flies, and accessible by car, bus and ferry. But its population of around 46,000 - rising to up to 100,000 in the summer - has few hot food delivery options.During a video call, Aviant co-founder and CEO, Lars Erik Fagernæs, shows me a map of the islands closest to Stockholm. All of the white and blue squares are where  delivery services  Foodora and Wolt have a service, and all of the black squares are where they don t,  says Mr Fagernæs, who is based in the Norwegian city of Trondheim. As you can see on the map, there are 87,000 people who don t have access to a home delivery service. These people live in what you would call suburbs, and would want to order takeaway food, but they just don t have an option. Since February, though, residents of Gustavsberg, the main town on Värmdö, and surrounding areas, have been able to order freshly made burgers from Scandinavian chain Bastard Burgers directly to their door via drone, using Aviant s technology.The cost of delivery is comparable to that of a car or bike service, as drones take out the cost of the driver.At the moment Aviant is in a  beta phase  - only delivering 10 items a week, while they check everything works.But the plan is to scale up as the year goes on. Aviant is also set to launch a similar service on the Norwegian peninsula of Nesodden - just four miles in distance from Oslo, but a 29-mile road journey. Mr Fagernæs demonstrates once again on a map. All the white is where you don t currently have a food delivery service. So it s about 100,000 people that s going to now have access to home delivery that didn t have it before,  he says.It hasn t been a straightforward process to perfect, Mr Fagernæs admits, as several trials were needed to ensure the food stayed hot and fresh during the maximum flight time of up to 10 minutes, over a radius of up to six miles. We have been testing this for three years, and in the beginning, there were a lot of soggy fries,  he recalls.  But we have improved the isolated container the burger goes in, and now we know it arrives warm, even in the winter months. People go crazy for it. They call their neighbors and their grandma. They think it s like a UFO delivering their food.  Mr Fagernæs hopes the two pilot services will provide the  recipe , as he describes it, to embark on a full-scale rollout across Scandinavia, where many communities like those on Värmdö and Nessoden are beholden to their geography. He points back to the map. We don t have huge cities, but these areas are viable for drone delivery, where they are on the border of urban with rural, which is very hard to serve by car, and that is a lot of the population in Scandinavia,  says Mr Fagernæs.Aviant has identified around 40 bases across Scandinavia to expand to over the next two years, and sees similar geography in Canada, which has over 52,000 islands, and the north eastern region of the US, characterised by lakes, mountains and islands.And what about the weather. Mr Fagernæs admits high winds will ground the drones occasionally, but expects the service to have 90  uptime. As for flying drones to deliver food into really remote areas, Aviant is one of a number of drone firms to have tested the waters, but found the numbers did not add up. Starting in 2022, Aviant delivered Thai, Italian and sushi to residents outside of Trondheim. But that service was ended in August 2023.Meanwhile, in 2022, UK firm Skyports delivered school meals to children in the Orkney islands, funded by Argyll and Bute Council, and temporarily ran a  fish and chip Fridays  delivery service to the wider community.Similarly, German firm Wingcopter delivered everyday goods to rural residents in 2023 as part of a government partnership. In China s eastern Zhejiang province, a local council is funding drone delivery of hot meals to elderly villagers isolated in the mountains.But continuing these services without a government or corporate sponsor is not commercially viable.Given the distances, the cost of delivery would be prohibitive for the person ordering, and too much for the outlet providing the food to waive. And, being rural areas, there aren t enough locals to generate sufficient orders to begin with.",business,Will drones deliver your next hot food order?,https://www.bbc.com/news/articles/crlze41zygdo?at_medium=RSS&at_campaign=rss,"Mon, 01 Sep 2025 23:05:14 GMT",891
"Bank of England  very concerned  at Trump threats to US Fed. Andrew Bailey said the attacks, led by the US president, are  a very serious situation . The Bank of England governor has warned that threats to the US Federal Reserve s independence are  very serious  and a  very dangerous road to go down  as President Donald Trump continues to target America s central bank.Andrew Bailey told the Treasury Select Committee   This is a very serious situation, I am very concerned.  Trump has repeatedly attacked Fed chair Jerome Powell for not cutting interest rates and attempted to fire one of its governors, Lisa Cook who is now suing the US president.Mr Bailey is latest central banker to raise the alarm after European Central Bank  ECB  president Christine Lagarde said a loss of independence was a  very serious danger  to the global economy. Ms Lagarde warned that if the Fed was forced to respond to presidential orders it would have a  very worrying  effect on economic stability around the world.Mr Bailey echoed her concerns, telling MPs   The Federal Reserve is the central bank for the world s largest economy. It is a leading central bank. It has built up a very strong reputation for independence and its decision-making so this is very concerning. Trump has made it clear that since returning to the White House in January that he would like to see large cuts in official interest rates which have remained at between 4.25  to 4.5  since last December. In contrast, the ECB and the Bank of England have cut borrowing costs a number of times since last year.Trump has repeatedly attacked Mr Powell for not doing the same - calling him  too late  and claiming he is  lousy  at his job. Mr Bailey said it was the job of central banks to ensure that economies were stable, which allowed governments to take policy decisions  knowing the foundations are sound .He said what was happening now in the US was politicians deciding they  should be able to trade off the foundations for those other decisions . I just think that is a very dangerous road to go down,  he said. On domestic interest rates, Mr Bailey told the committee said there was now less certainty about how quickly the Bank would continue to make cuts. The next decision is due on 18 September. There is now considerably more doubt about exactly when and how quickly we can make those further steps,  he said but added the path remained  downwards gradually over time .Last month, the Bank of England cut UK interest rates from 4.25  to 4 , but in an unprecedented move the Bank s policymakers needed two votes to reach a decision.That suggested future decisions on interest rate cuts would be finely balanced.Mr Bailey told the BBC at the time the path for interest rates continued to be  downwards  but the path was   a bit more uncertain frankly  as inflation - the rate at which the cost of goods and services increases - was continuing to rise.The Bank began cutting interest rates from its recent high of 5.25  in August last year.Mr Bailey told MPs on Wednesday the UK was not seeing inflationary pressure from higher tariffs introduced by Trump  as of yet , noting that their impact could be  ambiguous . If the world economy started to fragment and we got supply chain pressures as we did after Covid, of course, that would be inflationary,  he said.He added that if the UK receives more Chinese exports as a result of high tariffs on Chinese exports to the US, that could in fact push prices down. We have to keep watching this closely,  he said. Meanwhile, Mr Bailey questioned recent coverage of the interest rate on long-term government bonds. The rate on 30-year bonds jumped to the highest level since 1998 on Tuesday, making it more expensive for the government to borrow money as speculation mounts over what Chancellor Rachel Reeves will announce in the Budget on 26 November. The Bank governor said it is  important not to focus too much  on longer-term borrowing costs, noting that compared to other economies the UK is  broadly in the middle of the pack . It s a number that gets quoted a lot. It is quite a high number but it is not what is being used for funding at all at the moment actually,  he said.",business,Bank of England 'very concerned' at Trump threats to US Fed,https://www.bbc.com/news/articles/cpw18rwz1r1o?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 16:56:22 GMT",736
"Topshop will return to High Street in 2026. The comeback in February 2026 will come five years after the chain closed its stores. Topshop will return to the High Street, five years after it closed all of its UK stores.The brand is going to be available in 32 John Lewis shops from February 2026, while its menswear brand Topman will be sold in six stores.After its heyday in the 2000s and 2010s, the Topshop chain disappeared following the collapse of Sir Philip Green s retail empire, which owned the brand as well as Burton and Dorothy Perkins.The Topshop name was bought by the online retailer Asos, which sold its majority stake last September to the Danish retail tycoon Anders Holch Povlsen and is now attempting a major comeback. Asos currently sells Topshop and Topman goods on its website and a standalone Topshop site was recently relaunched but it was unclear if the brand would ever reappear on the High Street again until recently.  Customers absolutely want to see us back in stores and we want to bring that nationwide,  said Michelle Wilson, managing director of Topshop and Topman.The new Topshop spring collection will feature 120 pieces, curated by John Lewis.The brand will be given a  prime  position in stores, according to Peter Ruis, managing director at John Lewis.He said he hopes the partnering with the brand will bring new customers through the department store s doors.  I think the best fashion brands are multi-generational. The brilliance of Topshop is it is so affordable,  he said.The upmarket store Liberty London in Soho recently started to sell a small Topshop collection.But the tie-up with John Lewis is the first nationwide partnership for the brand and the fashion retailer wants to introduce some standalone stores in future. Topshop struggled during the Covid-19 pandemic, when it had to close its physical stores, but it had been having problems for several years.It failed to keep up with changing shopping habits among its key demographic   teenagers and young adults   primarily the rise of online shopping.As its core customers aged-out of its products, it struggled to replace them with new shoppers or adapt its products to its old base s tastes.The brand also faced growing criticism for its sustainability record, as young shoppers became more conscious about the environmental impact of the fast-fashion industry.Retail consultant Graham Soult said the partnership between John Lewis and Topshop was  a canny move for both brands . If you re Topshop, you ve got a customer base who have a real affection for the brand,  he said. And for John Lewis,  it gets the name out there in a positive way  and draws in new customers. Maybe this will be a template for how you bring back an iconic name , he said. Bethan Alexander, an associate professor in retail, marketing and management at London College of Fashion, said the partnership between the two brands may seem odd given their highly different customer bases, though added that it could benefit them both significantly.However, she said Topshop will have to remember that High Street fashion  has come a long way  since the brand s heyday. That traditional shopper is now older  and  more conscious about their consumption,  she said.  You can t just resurrect the same fast fashion heritage   the customer is different today. Additional reporting by Emer Moreau",business,Topshop will return to High Street in 2026,https://www.bbc.com/news/articles/c1l854prl9vo?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 14:25:06 GMT",557
"Ministers favour merging all UK steel companies into one. The government believes the struggling sector s six companies should be merged together, sources tell the BBC. The government is in favour of merging all the UK s steelmakers, but ministers do not want to nationalise any of the companies, the BBC can reveal.There are six steel companies in the UK, four of which are currently being financially supported by the government, and ministers believe the sector is too fragmented.It is understood the preference inside the Department for Business and Trade  DBT  is to find a joint buyer, rather than nationalise the companies.Any future plan would need the backing of the current owners, but it is understood ministers have told the sector they believe a merger is the best way to be sustainable in the long-term. The UK s steel industry has faced major financial difficulties in recent years due to high energy prices, increased tariffs and a glut of steel in the global market.Ministers are already searching for buyers for two steel companies and another has been publicly owned since 2021.The UK wing of Liberty Steel in South Yorkshire collapsed into government control last month after insolvency courts granted a compulsory winding up order.Speciality Steels UK  SSUK , part of the Liberty Steel metals empire of controversial tycoon Sanjeev Gupta, was placed in the hands of a government appointed liquidator last month and ministers have agreed to cover the ongoing wages and costs of the plant while a buyer is sought.It s understood that a number of commercial buyers have already approached the government about taking over SSUK, which has already transitioned to greener electric arc furnaces.Ministers took control of British Steel in Scunthorpe in April after accusing the Chinese owners Jingye of trying to close down the site s blast furnaces.The search for a new buyer for British Steel has stalled in recent months after Jingye unexpectedly asked for a sum in the hundreds of millions to hand over ownership.BBC News has been told that Business Secretary Jonathan Reynolds is set to fly to China next week to negotiate with Jingye officials.There is some concern within government that finding a buyer for British Steel may be more difficult, given the site uses old-fashioned blast furnaces.Tata Steel, in Port Talbot, was given a  500m government rescue package last year to help the company move to greener forms of steelmaking.Sheffield Forgemasters was nationalised by the Ministry of Defence in 2021 after the company faced financial difficulties throughout the 2010s.A senior source in the Department for Business and Trade said   We are trying to fix the UK steel sector in the round.  We needed Jingye off the board, we are very close to doing that. We needed Gupta off the board, we ve done that. The source added that there was now a belief inside government that the UK s steel companies  should all be brought together , to make the sector more financially sustainable, but that such a move might not be possible if the current owners do not all agree.The government is understood to have told the steel sector that even without a shared ownership model, the companies will be expected to work together much more closely in the future.Ministers have always maintained that full nationalisation for any steel company is not the government s preference and the source added that it was  unlikely  the companies would be nationalised together.",business,Ministers favour merging all UK steel companies into one,https://www.bbc.com/news/articles/c4gqe91kp57o?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 13:11:18 GMT",570
"Lush shuts UK stores for a day to protest Gaza starvation. The retail chain said similar action could be taken in its other stores worldwide. Cosmetics retailer Lush has shut down all of its physical stores and online shop for one day in protest over starvation in Gaza. A statement on its website states it is showing solidarity while  the Israeli government is preventing urgent humanitarian assistance from entering Gaza .To do so, the company has closed all of its factories, websites and UK shops for Wednesday only.Israeli Prime Minister Benjamin Netanyahu has repeatedly denied starvation is taking place in Gaza and has said that where there is hunger, it is the fault of aid agencies and Hamas. The website home page of Lush now reads  stop starving Gaza  in large text, followed by  closed in solidarity .Posters with the same message are also hung in every window of the physical stores.The company said it hopes the UK government notices and takes action  needed to bring an immediate stop to the death and destruction  in Gaza, including an end to arms sales to Israel.It added that shutting shops is not an easy decision, and asked for forgiveness from customers for the inconvenience.  However, we know that many of our customers share the same anxiety about the current situation in Gaza. How Israel s policies created famine in GazaA report by the world s leading hunger monitor at the end of August stated that half a million people in Gaza City are suffering from famine. The Integrated Food Security Phase Classification  IPC  acknowledged that this situation is  entirely man-made , and warned starvation is spreading rapidly. The report was labelled an  outright lie  by Israel.Lush, known for its unusual bath bombs and soaps, operates in more than 50 countries and has 104 shops in the UK and Ireland. It said it is expecting further similar closures in other countries.In the statement on its website Lush said it was losing a day of takings but that meant the UK government would lose a day of tax contributions from it.The UN has said Israel is obliged under international humanitarian law to ensure food and medical supplies for Gaza s population.Israel has said there are no restrictions on aid deliveries and has disputed the health ministry s figures on malnutrition-related deaths.The Israeli military launched a campaign in Gaza in response to the Hamas-led attack on southern Israel on 7 October 2023, in which about 1,200 people were killed and 251 others were taken hostage.At least 63,746 people have been killed in Gaza since then, according to the territory s health ministry.",business,Lush shuts UK stores for a day to protest Gaza starvation,https://www.bbc.com/news/articles/cn82ly74rk4o?at_medium=RSS&at_campaign=rss,"Wed, 03 Sep 2025 13:39:32 GMT",437
